,action_taken_name,loan_purpose_name,denial_reason_name_1
0,Application denied by financial institution,Refinancing,Collateral
1,Application denied by financial institution,Refinancing,Debt-to-income ratio
2,Application denied by financial institution,Refinancing,Credit history
3,Application denied by financial institution,Refinancing,Credit history
4,Application denied by financial institution,Home improvement,Credit history
5,Application denied by financial institution,Refinancing,Employment history
6,Application denied by financial institution,Home improvement,Debt-to-income ratio
7,Application denied by financial institution,Home purchase,Debt-to-income ratio
8,Application denied by financial institution,Home purchase,Debt-to-income ratio
9,Application denied by financial institution,Home improvement,Debt-to-income ratio
10,Application denied by financial institution,Home improvement,Credit history
11,Application denied by financial institution,Refinancing,Collateral
12,Application denied by financial institution,Refinancing,Collateral
13,Application denied by financial institution,Home improvement,Collateral
14,Application denied by financial institution,Refinancing,Other
15,Application denied by financial institution,Home purchase,Debt-to-income ratio
16,Application denied by financial institution,Home purchase,Debt-to-income ratio
17,Application denied by financial institution,Home purchase,Employment history
18,Application denied by financial institution,Refinancing,Debt-to-income ratio
19,Application denied by financial institution,Refinancing,Credit history
20,Application denied by financial institution,Refinancing,Collateral
21,Application denied by financial institution,Home improvement,Collateral
22,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
23,Application denied by financial institution,Refinancing,Other
24,Application denied by financial institution,Home purchase,Other
25,Application denied by financial institution,Refinancing,Credit application incomplete
26,Application denied by financial institution,Refinancing,Credit history
27,Application denied by financial institution,Home purchase,Collateral
28,Application denied by financial institution,Home improvement,Credit history
29,Application denied by financial institution,Home purchase,Credit application incomplete
30,Application denied by financial institution,Refinancing,Unverifiable information
31,Application denied by financial institution,Home purchase,Debt-to-income ratio
32,Application denied by financial institution,Home improvement,Debt-to-income ratio
33,Application denied by financial institution,Refinancing,Debt-to-income ratio
34,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
35,Application denied by financial institution,Home improvement,Credit history
36,Application denied by financial institution,Refinancing,Credit history
37,Application denied by financial institution,Refinancing,Unverifiable information
38,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
39,Application denied by financial institution,Home improvement,Debt-to-income ratio
40,Application denied by financial institution,Refinancing,Collateral
41,Application denied by financial institution,Refinancing,Credit history
42,Application denied by financial institution,Refinancing,Other
43,Application denied by financial institution,Refinancing,Debt-to-income ratio
44,Application denied by financial institution,Home improvement,Credit history
45,Application denied by financial institution,Home purchase,Debt-to-income ratio
46,Application denied by financial institution,Home purchase,Collateral
47,Application denied by financial institution,Home improvement,Credit history
48,Application denied by financial institution,Refinancing,Debt-to-income ratio
49,Application denied by financial institution,Refinancing,Debt-to-income ratio
50,Application denied by financial institution,Home improvement,Other
51,Application denied by financial institution,Refinancing,Credit application incomplete
52,Application denied by financial institution,Home purchase,Credit history
53,Application denied by financial institution,Home improvement,Credit history
54,Application denied by financial institution,Refinancing,Debt-to-income ratio
55,Application denied by financial institution,Home improvement,Credit history
56,Application denied by financial institution,Home purchase,Collateral
57,Application denied by financial institution,Refinancing,Debt-to-income ratio
