loan_purpose_name,denial_reason_name_1
Refinancing,Collateral
Refinancing,Debt-to-income ratio
Refinancing,Credit history
Refinancing,Credit history
Home improvement,Credit history
Refinancing,Employment history
Home improvement,Debt-to-income ratio
Home purchase,Debt-to-income ratio
Home purchase,Debt-to-income ratio
Home improvement,Debt-to-income ratio
Home improvement,Credit history
Refinancing,Collateral
Refinancing,Collateral
Home improvement,Collateral
Refinancing,Other
Home purchase,Debt-to-income ratio
Home purchase,Debt-to-income ratio
Home purchase,Employment history
Refinancing,Debt-to-income ratio
Refinancing,Credit history
Refinancing,Collateral
Home improvement,Collateral
Refinancing,"Insufficient cash (downpayment, closing costs)"
Refinancing,Other
Home purchase,Other
Refinancing,Credit application incomplete
Refinancing,Credit history
Home purchase,Collateral
Home improvement,Credit history
Home purchase,Credit application incomplete
Refinancing,Unverifiable information
Home purchase,Debt-to-income ratio
Home improvement,Debt-to-income ratio
Refinancing,Debt-to-income ratio
Refinancing,"Insufficient cash (downpayment, closing costs)"
Home improvement,Credit history
Refinancing,Credit history
Refinancing,Unverifiable information
Home purchase,"Insufficient cash (downpayment, closing costs)"
Home improvement,Debt-to-income ratio
Refinancing,Collateral
Refinancing,Credit history
Refinancing,Other
Refinancing,Debt-to-income ratio
Home improvement,Credit history
Home purchase,Debt-to-income ratio
Home purchase,Collateral
Home improvement,Credit history
Refinancing,Debt-to-income ratio
Refinancing,Debt-to-income ratio
Home improvement,Other
Refinancing,Credit application incomplete
Home purchase,Credit history
Home improvement,Credit history
Refinancing,Debt-to-income ratio
Home improvement,Credit history
Home purchase,Collateral
Refinancing,Debt-to-income ratio
Refinancing,Debt-to-income ratio
Home purchase,Unverifiable information
Home purchase,Collateral
Refinancing,Unverifiable information
Refinancing,Unverifiable information
Refinancing,Credit history
Home purchase,Collateral
Home improvement,Credit history
Refinancing,Unverifiable information
Home improvement,Credit history
Refinancing,Collateral
Home purchase,Credit history
Home purchase,Debt-to-income ratio
Home purchase,Debt-to-income ratio
Home improvement,Credit history
Refinancing,Collateral
Home improvement,Collateral
Refinancing,Debt-to-income ratio
Home improvement,Credit history
Refinancing,Debt-to-income ratio
Refinancing,Debt-to-income ratio
Home improvement,Credit history
Home improvement,Credit history
Home improvement,Credit history
Home purchase,Credit history
Refinancing,Credit history
Home purchase,Collateral
Refinancing,Collateral
Refinancing,Collateral
Home purchase,Other
Refinancing,Debt-to-income ratio
Refinancing,Other
